Time_ms,Amplitude_mV
636.5092,2.0228
638.5108,2.0228
640.5124,2.0275
642.5140,2.0363
644.5156,2.0435
646.5172,2.0490
648.5188,2.0495
650.5204,2.0452
652.5220,2.0362
654.5236,2.0267
656.5252,2.0172
658.5268,2.0142
660.5284,2.0191
662.5300,2.0310
664.5316,2.0411
666.5332,2.0482
668.5348,2.0472
670.5364,2.0383
672.5380,2.0224
674.5396,2.0091
676.5412,2.0004
678.5428,1.9977
680.5444,1.9981
682.5460,2.0025
684.5476,2.0175
686.5492,2.0420
688.5508,2.0734
690.5524,2.1017
692.5540,2.1268
694.5556,2.1395
696.5572,2.1411
698.5588,2.1317
700.5604,2.1223
702.5620,2.1128
704.5637,2.1033
706.5653,2.0939
708.5669,2.0850
710.5685,2.0776
712.5701,2.0719
714.5717,2.0646
716.5733,2.0541
718.5749,2.0430
720.5765,2.0402
722.5781,2.0466
724.5797,2.0727
726.5813,2.1169
728.5829,2.1709
730.5845,2.1823
732.5861,2.1460
734.5877,2.0723
736.5893,2.0017
738.5909,1.9387
740.5925,1.9305
742.5941,1.9760
744.5957,2.0435
746.5973,2.0606
748.5989,2.0272
750.6005,1.9970
752.6021,1.9936
754.6037,2.0263
756.6053,2.0804
758.6069,2.1555
760.6085,2.2073
762.6101,2.2201
764.6117,2.2081
766.6133,2.2318
768.6149,2.2951
770.6165,2.3833
772.6181,2.4706
774.6197,2.5528
776.6213,2.6195
778.6229,2.6706
780.6245,2.7185
782.6261,2.7778
784.6277,2.8419
786.6293,2.8709
788.6309,2.8616
790.6325,2.8023
792.6341,2.7134
794.6357,2.5973
796.6373,2.4983
798.6389,2.4274
800.6405,2.2998
802.6421,2.0169
804.6437,1.5788
806.6453,1.2383
808.6469,1.0703
810.6485,1.0845
812.6501,1.1234
814.6517,1.1847
816.6533,1.2650
818.6549,1.3526
820.6565,1.4474
822.6581,1.5430
824.6597,1.6386
826.6613,1.7251
828.6629,1.8002
830.6645,1.8615
832.6661,1.9111
834.6677,1.9513
836.6693,1.9811
838.6709,2.0061
840.6725,2.0259
842.6741,2.0411
844.6757,2.0532
846.6773,2.0627
848.6789,2.0721
850.6805,2.0814
852.6821,2.0874
854.6837,2.0904
856.6853,2.0904
858.6869,2.0904
860.6886,2.0904
862.6902,2.0919
864.6918,2.0950
866.6934,2.1004
868.6950,2.1074
870.6966,2.1160
872.6982,2.1255
874.6998,2.1349
876.7014,2.1444
878.7030,2.1539
880.7046,2.1633
882.7062,2.1728
884.7078,2.1823
886.7094,2.1913
888.7110,2.1988
890.7126,2.2047
892.7142,2.2072
894.7158,2.2066
896.7174,2.2025
898.7190,2.1959
900.7206,2.1878
902.7222,2.1803
904.7238,2.1759
906.7254,2.1748
908.7270,2.1765
910.7286,2.1798
912.7302,2.1837
914.7318,2.1860
916.7334,2.1867
918.7350,2.1898
920.7366,2.1961
922.7382,2.2055
924.7398,2.2149
926.7414,2.2244
928.7430,2.2311
930.7446,2.2346
932.7462,2.2333
934.7478,2.2270
936.7494,2.2159
938.7510,2.2067
940.7526,2.2039
942.7542,2.2073
944.7558,2.2120
946.7574,2.2168
948.7590,2.2226
950.7606,2.2300
952.7622,2.2383
954.7638,2.2423
956.7654,2.2415
958.7670,2.2377
960.7686,2.2356
962.7702,2.2350
964.7718,2.2367
966.7734,2.2400
968.7750,2.2431
970.7766,2.2430
972.7782,2.2398
974.7798,2.2443
976.7814,2.2582
978.7830,2.2803
980.7846,2.2995
982.7862,2.3155
984.7878,2.3283
986.7894,2.3395
988.7910,2.3502
990.7926,2.3639
992.7942,2.3807
994.7958,2.4022
996.7974,2.4267
998.7990,2.4525
1000.8006,2.4711
1002.8022,2.4818
1004.8038,2.4876
1006.8054,2.4950
1008.8070,2.5040
1010.8086,2.5135
1012.8102,2.5230
1014.8118,2.5344
1016.8135,2.5489
1018.8151,2.5663
1020.8167,2.5802
1022.8183,2.5894
1024.8199,2.5933
1026.8215,2.5956
1028.8231,2.5964
1030.8247,2.5964
1032.8263,2.5964
1034.8279,2.5950
1036.8295,2.5906
1038.8311,2.5829
1040.8327,2.5748
1042.8343,2.5683
1044.8359,2.5629
1046.8375,2.5560
1048.8391,2.5476
1050.8407,2.5344
1052.8423,2.5165
1054.8439,2.4950
1056.8455,2.4772
1058.8471,2.4642
1060.8487,2.4569
1062.8503,2.4528
1064.8519,2.4509
1066.8535,2.4436
1068.8551,2.4300
1070.8567,2.4111
1072.8583,2.3922
1074.8599,2.3733
1076.8615,2.3543
1078.8631,2.3354
1080.8647,2.3189
1082.8663,2.3071
1084.8679,2.3001
1086.8695,2.2923
1088.8711,2.2814
1090.8727,2.2679
1092.8743,2.2560
1094.8759,2.2456
1096.8775,2.2347
1098.8791,2.2223
1100.8807,2.2083
1102.8823,2.1941
1104.8839,2.1799
1106.8855,2.1670
1108.8871,2.1556
1110.8887,2.1465
1112.8903,2.1410
1114.8919,2.1386
1116.8935,2.1375
1118.8951,2.1348
1120.8967,2.1305
1122.8983,2.1258
1124.8999,2.1211
1126.9015,2.1173
1128.9031,2.1151
1130.9047,2.1145
1132.9063,2.1145
1134.9079,2.1145
1136.9095,2.1145
1138.9111,2.1145
1140.9127,2.1145
1142.9143,2.1175
1144.9159,2.1237
1146.9175,2.1317
1148.9191,2.1367
1150.9207,2.1386
1152.9223,2.1386
1154.9239,2.1386
1156.9255,2.1386
1158.9271,2.1386
1160.9287,2.1386
1162.9303,2.1386
1164.9319,2.1386
1166.9335,2.1386
1168.9351,2.1386
1170.9367,2.1386
1172.9384,2.1386
1174.9400,2.1386
1176.9416,2.1386
1178.9432,2.1386
1180.9448,2.1386
1182.9464,2.1386
1184.9480,2.1386
1186.9496,2.1386
1188.9512,2.1386
1190.9528,2.1386
1192.9544,2.1386
1194.9560,2.1386
1196.9576,2.1386
1198.9592,2.1370
1200.9608,2.1340
1202.9624,2.1293
1204.9640,2.1246
1206.9656,2.1198
1208.9672,2.1165
1210.9688,2.1147
1212.9704,2.1140
1214.9720,2.1119
1216.9736,2.1082
1218.9752,2.1035
1220.9768,2.0987
1222.9784,2.0944
1224.9800,2.0916
1226.9816,2.0904
1228.9832,2.0893
1230.9848,2.0866
1232.9864,2.0822
1234.9880,2.0757
1236.9896,2.0675
1238.9912,2.0599
1240.9928,2.0555
1242.9944,2.0543
1244.9960,2.0559
1246.9976,2.0592
1248.9992,2.0631
1251.0008,2.0655
1253.0024,2.0663
1255.0040,2.0663
1257.0056,2.0663
1259.0072,2.0656
1261.0088,2.0634
1263.0104,2.0596
1265.0120,2.0549
1267.0136,2.0501
1269.0152,2.0464
1271.0168,2.0458
1273.0184,2.0484
1275.0200,2.0507
1277.0216,2.0498
1279.0232,2.0462
1281.0248,2.0434
1283.0264,2.0422
1285.0280,2.0422
1287.0296,2.0422
1289.0312,2.0434
1291.0328,2.0537
1293.0344,2.0730
1295.0360,2.0979
1297.0376,2.1189
1299.0392,2.1355
1301.0408,2.1423
1303.0424,2.1407
1305.0440,2.1305
1307.0456,2.1187
1309.0472,2.1053
1311.0488,2.0956
1313.0504,2.0906
1315.0520,2.0904
1317.0536,2.0904
1319.0552,2.0904
1321.0568,2.0904
1323.0584,2.0904
1325.0600,2.0904
1327.0616,2.0904
1329.0633,2.0904
1331.0649,2.0904
1333.0665,2.0904
1335.0681,2.0907
1337.0697,2.0926
1339.0713,2.0961
1341.0729,2.0998
1343.0745,2.1019
1345.0761,2.1022
1347.0777,2.1004
1349.0793,2.0971
1351.0809,2.0933
1353.0825,2.0910
1355.0841,2.0904
1357.0857,2.0904
1359.0873,2.0904
1361.0889,2.0904
1363.0905,2.0904
1365.0921,2.0904
1367.0937,2.0904
1369.0953,2.0904
1371.0969,2.0897
1373.0985,2.0875
1375.1001,2.0837
1377.1017,2.0790
1379.1033,2.0743
1381.1049,2.0700
1383.1065,2.0674
1385.1081,2.0663
1387.1097,2.0663
1389.1113,2.0663
1391.1129,2.0663
1393.1145,2.0663
1395.1161,2.0663
1397.1177,2.0663
1399.1193,2.0663
1401.1209,2.0663
1403.1225,2.0663
1405.1241,2.0663
1407.1257,2.0663
1409.1273,2.0663
1411.1289,2.0663
1413.1305,2.0663
1415.1321,2.0663
1417.1337,2.0663
1419.1353,2.0663
1421.1369,2.0663
1423.1385,2.0678
1425.1401,2.0708
1427.1417,2.0748
1429.1433,2.0774
1431.1449,2.0783
1433.1465,2.0783
1435.1481,2.0783
1437.1497,2.0793
1439.1513,2.0834
1441.1529,2.0907
1443.1545,2.1001
1445.1561,2.1096
1447.1577,2.1191
1449.1593,2.1285
1451.1609,2.1380
1453.1625,2.1422
1455.1641,2.1385
1457.1657,2.1275
1459.1673,2.1186
1461.1689,2.1145
1463.1705,2.1145
1465.1721,2.1145
1467.1737,2.1145
1469.1753,2.1145
1471.1769,2.1145
1473.1785,2.1137
1475.1801,2.1114
1477.1817,2.1074
1479.1833,2.1027
1481.1849,2.0980
1483.1865,2.0945
1485.1882,2.0941
1487.1898,2.0969
1489.1914,2.1030
1491.1930,2.1107
1493.1946,2.1194
1495.1962,2.1268
1497.1978,2.1327
1499.1994,2.1350
1501.2010,2.1342
1503.2026,2.1306
1505.2042,2.1278
1507.2058,2.1265
1509.2074,2.1276
1511.2090,2.1302
1513.2106,2.1340
1515.2122,2.1352
1517.2138,2.1333
1519.2154,2.1303
1521.2170,2.1306
1523.2186,2.1339
1525.2202,2.1370
1527.2218,2.1386
1529.2234,2.1408
1531.2250,2.1478
1533.2266,2.1596
1535.2282,2.1738
1537.2298,2.1880
1539.2314,2.2015
1541.2330,2.2136
1543.2346,2.2240
1545.2362,2.2295
1547.2378,2.2302
1549.2394,2.2258
1551.2410,2.2190
1553.2426,2.2106
1555.2442,2.2023
1557.2458,2.1956
1559.2474,2.1905
1561.2490,2.1858
1563.2506,2.1810
1565.2522,2.1742
1567.2538,2.1643
1569.2554,2.1504
1571.2570,2.1292
1573.2586,2.1017
1575.2602,2.0739
1577.2618,2.0556
1579.2634,2.0469
1581.2650,2.0454
1583.2666,2.0470
1585.2682,2.0525
1587.2698,2.0595
1589.2714,2.0682
1591.2730,2.0762
1593.2746,2.0826
1595.2762,2.0899
1597.2778,2.1033
1599.2794,2.1231
1601.2810,2.1497
1603.2826,2.1797
1605.2842,2.2166
1607.2858,2.2657
1609.2874,2.3263
1611.2890,2.3923
1613.2906,2.4543
