Time_ms,I_mV
636.5092,0.9750
638.5108,0.9940
640.5124,1.0129
642.5140,1.0311
644.5156,1.0477
646.5172,1.0628
648.5188,1.0741
650.5204,1.0823
652.5220,1.0873
654.5236,1.0921
656.5252,1.0968
658.5268,1.1015
660.5284,1.1063
662.5300,1.1114
664.5316,1.1182
666.5332,1.1265
668.5348,1.1359
670.5364,1.1454
672.5380,1.1535
674.5396,1.1536
676.5412,1.1459
678.5428,1.1317
680.5444,1.1175
682.5460,1.1043
684.5476,1.1021
686.5492,1.1109
688.5508,1.1239
690.5524,1.1258
692.5540,1.1167
694.5556,1.1025
696.5572,1.0883
698.5588,1.0734
700.5604,1.0569
702.5620,1.0388
704.5637,1.0228
706.5653,1.0098
708.5669,1.0001
710.5685,0.9906
712.5701,0.9811
714.5717,0.9691
716.5733,0.9539
718.5749,0.9381
720.5765,0.9312
722.5781,0.9337
724.5797,0.9556
726.5813,0.9949
728.5829,1.0428
730.5845,1.0451
732.5861,0.9968
734.5877,0.9158
736.5893,0.8490
738.5909,0.8002
740.5925,0.8024
742.5941,0.8503
744.5957,0.9149
746.5973,0.9321
748.5989,0.9019
750.6005,0.8671
752.6021,0.8496
754.6037,0.8543
756.6053,0.8703
758.6069,0.8973
760.6085,0.8751
762.6101,0.7914
764.6117,0.6673
766.6133,0.5970
768.6149,0.5866
770.6165,0.6790
772.6181,0.8507
774.6197,1.0958
776.6213,1.3340
778.6229,1.5499
780.6245,1.7476
782.6261,1.9429
784.6277,2.1287
786.6293,2.2727
788.6309,2.3755
790.6325,2.4618
792.6341,2.5766
794.6357,2.7131
796.6373,2.7762
798.6389,2.7551
800.6405,2.6523
802.6421,2.5416
804.6437,2.4231
806.6453,2.1755
808.6469,1.8010
810.6485,1.3642
812.6501,1.0727
814.6517,0.9281
816.6533,0.8690
818.6549,0.8137
820.6565,0.7698
822.6581,0.7480
824.6597,0.7481
826.6613,0.7635
828.6629,0.7806
830.6645,0.7988
832.6661,0.8157
834.6677,0.8311
836.6693,0.8442
838.6709,0.8557
840.6725,0.8653
842.6741,0.8730
844.6757,0.8790
846.6773,0.8837
848.6789,0.8885
850.6805,0.8932
852.6821,0.8979
854.6837,0.9027
856.6853,0.9074
858.6869,0.9121
860.6886,0.9169
862.6902,0.9216
864.6918,0.9263
866.6934,0.9304
868.6950,0.9328
870.6966,0.9337
872.6982,0.9351
874.6998,0.9381
876.7014,0.9427
878.7030,0.9474
880.7046,0.9521
882.7062,0.9569
884.7078,0.9616
886.7094,0.9663
888.7110,0.9711
890.7126,0.9758
892.7142,0.9794
894.7158,0.9815
896.7174,0.9822
898.7190,0.9840
900.7206,0.9874
902.7222,0.9931
904.7238,1.0004
906.7254,1.0092
908.7270,1.0169
910.7286,1.0231
912.7302,1.0270
914.7318,1.0294
916.7334,1.0301
918.7350,1.0332
920.7366,1.0395
922.7382,1.0495
924.7398,1.0613
926.7414,1.0746
928.7430,1.0860
930.7446,1.0942
932.7462,1.0993
934.7478,1.1040
936.7494,1.1088
938.7510,1.1135
940.7526,1.1182
942.7542,1.1233
944.7558,1.1301
946.7574,1.1383
948.7590,1.1467
950.7606,1.1535
952.7622,1.1589
954.7638,1.1655
956.7654,1.1736
958.7670,1.1850
960.7686,1.1996
962.7702,1.2169
964.7718,1.2308
966.7734,1.2400
968.7750,1.2431
970.7766,1.2430
972.7782,1.2398
974.7798,1.2489
976.7814,1.2722
978.7830,1.3070
980.7846,1.3358
982.7862,1.3584
984.7878,1.3759
986.7894,1.3919
988.7910,1.4068
990.7926,1.4231
992.7942,1.4410
994.7958,1.4649
996.7974,1.4951
998.7990,1.5313
1000.8006,1.5672
1002.8022,1.6015
1004.8038,1.6302
1006.8054,1.6526
1008.8070,1.6692
1010.8086,1.6870
1012.8102,1.7080
1014.8118,1.7346
1016.8135,1.7658
1018.8151,1.8014
1020.8167,1.8308
1022.8183,1.8524
1024.8199,1.8642
1026.8215,1.8712
1028.8231,1.8735
1030.8247,1.8735
1032.8263,1.8735
1034.8279,1.8735
1036.8295,1.8735
1038.8311,1.8735
1040.8327,1.8749
1042.8343,1.8778
1044.8359,1.8798
1046.8375,1.8740
1048.8391,1.8603
1050.8407,1.8389
1052.8423,1.8143
1054.8439,1.7870
1056.8455,1.7605
1058.8471,1.7357
1060.8487,1.7120
1062.8503,1.6884
1064.8519,1.6640
1066.8535,1.6349
1068.8551,1.6011
1070.8567,1.5622
1072.8583,1.5218
1074.8599,1.4802
1076.8615,1.4426
1078.8631,1.4097
1080.8647,1.3821
1082.8663,1.3561
1084.8679,1.3317
1086.8695,1.3095
1088.8711,1.2890
1090.8727,1.2700
