Time_ms,I_mV
636.5092,1.3916
638.5108,1.3916
640.5124,1.3916
642.5140,1.3916
644.5156,1.3916
646.5172,1.3916
648.5188,1.3916
650.5204,1.3916
652.5220,1.3916
654.5236,1.3916
656.5252,1.3916
658.5268,1.3929
660.5284,1.3957
662.5300,1.4002
664.5316,1.4049
666.5332,1.4096
668.5348,1.4132
670.5364,1.4152
672.5380,1.4157
674.5396,1.4157
676.5412,1.4157
678.5428,1.4157
680.5444,1.4157
682.5460,1.4157
684.5476,1.4157
686.5492,1.4157
688.5508,1.4148
690.5524,1.4124
692.5540,1.4084
694.5556,1.4036
696.5572,1.3989
698.5588,1.3949
700.5604,1.3924
702.5620,1.3916
704.5637,1.3916
706.5653,1.3916
708.5669,1.3916
710.5685,1.3916
712.5701,1.3916
714.5717,1.3916
716.5733,1.3916
718.5749,1.3916
720.5765,1.3916
722.5781,1.3916
724.5797,1.3927
726.5813,1.3954
728.5829,1.3997
730.5845,1.4044
732.5861,1.4092
734.5877,1.4129
736.5893,1.4151
738.5909,1.4157
740.5925,1.4157
742.5941,1.4157
744.5957,1.4157
746.5973,1.4157
748.5989,1.4157
750.6005,1.4157
752.6021,1.4157
754.6037,1.4157
756.6053,1.4157
758.6069,1.4157
760.6085,1.4157
762.6101,1.4157
764.6117,1.4157
766.6133,1.4157
768.6149,1.4157
770.6165,1.4157
772.6181,1.4157
774.6197,1.4157
776.6213,1.4157
778.6229,1.4157
780.6245,1.4157
782.6261,1.4157
784.6277,1.4157
786.6293,1.4157
788.6309,1.4157
790.6325,1.4157
792.6341,1.4157
794.6357,1.4157
796.6373,1.4157
798.6389,1.4157
800.6405,1.4157
802.6421,1.4157
804.6437,1.4157
806.6453,1.4157
808.6469,1.4157
810.6485,1.4157
812.6501,1.4157
814.6517,1.4157
816.6533,1.4157
818.6549,1.4157
820.6565,1.4157
822.6581,1.4157
824.6597,1.4157
826.6613,1.4157
828.6629,1.4157
830.6645,1.4157
832.6661,1.4157
834.6677,1.4157
836.6693,1.4157
838.6709,1.4157
840.6725,1.4157
842.6741,1.4157
844.6757,1.4157
846.6773,1.4157
848.6789,1.4157
850.6805,1.4157
852.6821,1.4157
854.6837,1.4157
856.6853,1.4157
858.6869,1.4157
860.6886,1.4157
862.6902,1.4157
864.6918,1.4157
866.6934,1.4157
868.6950,1.4157
870.6966,1.4157
872.6982,1.4157
874.6998,1.4157
876.7014,1.4157
878.7030,1.4157
880.7046,1.4157
882.7062,1.4157
884.7078,1.4157
886.7094,1.4157
888.7110,1.4157
890.7126,1.4157
892.7142,1.4157
894.7158,1.4157
896.7174,1.4157
898.7190,1.4157
